screen_name,count,type,state,party
repdanbishop,455,,,
uptonforallofus,455,,,
derekkilmer,453,,,
jahanahayesct,453,,,
danlipinski,445,,,
farenthold,443,,,
jeffdenham,440,,,
replukemesser,437,,,
ed4colorado,436,,,
morgangriffith,436,,,
helpcmtedems,435,,,
commercedems,431,,,
defazio4oregon,430,,,
rogerwilliamstx,430,,,
boozman4ar,429,,,
tomreedcongress,427,,,
rajaforcongress,424,,,
repdavebrat,421,,,
kevincramer,421,,,
adamschiffca,418,,,
karenbasstweets,416,,,
markdesaulnier,414,,,
repdennisross,412,,,
troy_balderson,411,,,
corygardner,408,,,
bryansteil,406,,,
davebratva7th,404,,,
sheldonforri,403,,,
sewell4congress,401,,,
heinrich4nm,400,,,
abrindisiny,396,,,
mariacantwell,395,,,
loritrahanma,392,,,
repbrochester,392,,,
schneider4il10,391,,,
repdesantis,389,,,
repmikecapuano,389,,,
debfischerne,388,,,
selectgop,388,,,
annlwagner,387,,,
electconnolly,386,,,
kloeffler,383,,,
stenyhoyer,382,,,
repsheaporter,381,,,
replancenj7,379,,,
diannefeinstein,377,,,
sendemsclimate,375,,,
elissaslotkin,374,,,
tom_suozzi,373,,,
angusformaine,372,,,
crawford4cong,369,,,
indiancommittee,368,,,
raul_labrador,363,,,
vickyh4congress,363,,,
walker4nc,362,,,
garretgraves,355,,,
rosa_delauro,354,,,
jason2cd,351,,,
sessionsfortx32,351,,,
scottpetersca52,350,,,
tammyforil,350,,,
youngforiowa,350,,,
axne4congress,343,,,
catherinefornv,339,,,
gregorymeeks,336,,,
westermanar,329,,,
davidjtrone,329,,,
tommcclintock,327,,,
menendez4nj,326,,,
reptrentfranks,325,,,
foster4congress,322,,,
reprussell,322,,,
lizzie4congress,321,,,
barrassoforwyo,320,,,
mikeforwi,319,,,
jaimeforusrep,314,,,
capitoforwv,313,,,
stewartforutah,312,,,
hornforcongress,309,,,
hbcucaucus,296,,,
drmarkgreen4tn,295,,,
lindatsanchez,294,,,
reppittenger,293,,,
greggharper,288,,,
luetkemeyerb,288,,,
lisabrochester,287,,,
tedyoho,282,,,
katherineclark,279,,,
allawsonjr,278,,,
davidkustoff,276,,,
mikerogerscamp,275,,,
gophelp,273,,,
gregstantonaz,271,,,
loisfrankel,270,,,
loubarletta,270,,,
peters4michigan,269,,,
peterroskam,268,,,
latta4congress,268,,,
repdavidvaladao,267,,,
repblainepress,266,,,
scottforflorida,266,,,
robin42cd,265,,,
tomrooney,264,,,
donnashalala,263,,,
miablove,263,,,
cartwrightpa,259,,,
mimiwaltersca,258,,,
rephensarling,258,,,
samspressshop,258,,,
repbillshuster,257,,,
davidrouzer,253,,,
hakeem_jeffries,252,,,
anthonybrownmd4,249,,,
debdingell,249,,,
denver4va,246,,,
dennyheck,238,,,
pattiberi,238,,,
mariodbcamp,237,,,
mooneyforwv,237,,,
spmaloney,237,,,
repryancostello,234,,,
drrandpaul,232,,,
mikesimpson4id,228,,,
drkimschrier,226,,,
peopleforben,226,,,
matsui4congress,225,,,
repcharliedent,220,,,
teamamash,217,,,
benmcadams,216,,,
francisrooney,216,,,
mikegarcia2020,216,,,
reppittenger,215,,,
clyburnsc06,214,,,
electdavidscott,213,,,
williamkeating,213,,,
palmer4alabama,212,,,
teamroby,211,,,
electrodney,209,,,
senateapprops,209,,,
teammeadows,209,,,
timwalberg,209,,,
clyburn,208,,,
jodyhice,208,,,
repscotttaylor,208,,,
alcee4congress,208,,,
demsonaging,207,,,
johnsarbanes,207,,,
cuellarcampaign,206,,,
teamkaine,206,,,
jodeyarrington,204,,,
bobbyscott4va3,203,,,
johnsonleads,203,,,
stevestivers,202,,,
stevescalisegop,201,,,
teamcalvert,201,,,
jamescomer,200,,,
robertpittenger,200,,,
repmeehan,199,,,
nealforcongress,198,,,
deanbphillips,196,,,
reptimmurphy,194,,,
senatorstrange,194,,,
teamtedcruz,194,,,
repjamescomer,192,,,
jctgov,189,,,
tomtiffanywi,187,,,
repdavetrott,187,,,
michaeljcloud,186,,,
senthadcochran,185,,,
usreprodney,185,,,
donyoungak,184,,,
prochoicecaucus,184,,,
repmikegarcia,183,,,
votefredkeller,183,,,
elizabeth_esty,182,,,
mittromney,182,,,
drlarrybucshon,178,,,
electmikebishop,178,,,
repjohnduncanjr,175,,,
quigleycampaign,174,,,
senateva,174,,,
geauxscalise,173,,,
bostforcongress,171,,,
jackbergman_mi1,171,,,
steve4kansas,169,,,
votedianeblack,169,,,
andre4congress,168,,,
tonko4congress,167,,,
erik_paulsen,166,,,
rodblum,165,,,
chuckschumer,165,,,
mike_ca05,163,,,
zoelofgren,163,,,
reptommarino,161,,,
electfrench,156,,,
johnmoolenaar,155,,,
kathleenrice,155,,,
patroberts,155,,,
jimmypanetta,152,,,
lamaralexander,151,,,
teamengel,151,,,
marcy_kaptur,150,,,
womack4congress,150,,,
mad4pa,149,,,
dlipinski03,148,,,
ralphnorman,148,,,
richhudson,146,,,
tomgravesga14,146,,,
electlahood,144,,,
georgeholding,144,,,
tgowdysc,144,,,
votecasten,144,,,
evanjenkinswv,143,,,
mikejohnson,143,,,
foxxforcongress,143,,,
douglamalfa,142,,,
welchforvt,142,,,
duncan4congress,140,,,
armstrong_nd,139,,,
reprohrabacher,138,,,
juliabrownley,137,,,
rickallen,134,,,
ronestesks,133,,,
carbajalsalud,132,,,
lloydsmuckerpa,131,,,
teamjoewilson,131,,,
braun4indiana,131,,,
cline4virginia,129,,,
houlahanforpa,129,,,
raullabrador4id,128,,,
daveforiowa,127,,,
ma_15855744287,127,,,
maggie_hassan,127,,,
weberfortexas,125,,,
fairmediacaucus,122,,,
gregpencein,122,,,
mikekellyforpa,122,,,
kindforcongress,120,,,
bob_gibbs,119,,,
dansullivan_ak,118,,,
collinpeterson,118,,,
cardenasforca,116,,,
flakeforsenate,116,,,
teamknight25,116,,,
gregsteube,116,,,
roundsforsenate,115,,,
reschenthaler,115,,,
higgins4wny,114,,,
mlfudge,113,,,
votemorelle,111,,,
robportman,110,,,
senateaging,107,,,
cbwgcaucus,104,,,
dustyjohnson,104,,,
aseancaucus,102,,,
votetimmons,102,,,
val_demings,101,,,
heidi4nd,100,,,
mikeleeforutah,97,,,
ronjohnsonwi,97,,,
sascdems,97,,,
wydenfororegon,96,,,
golden4congress,96,,,
vicentecongress,95,,,
votetimscott,95,,,
bankinggop,94,,,
joecourtneyct,90,,,
repjoebarton,89,,,
danarohrabacher,88,,,
stevenpalazzo,88,,,
guestcongress,87,,,
reelectcohen,85,,,
senwestcaucus,85,,,
tcardenas,85,,,
usjapancaucus,85,,,
dunncampaign,84,,,
drewfergusonga,83,,,
leonardlancenj7,82,,,
mfume4congress,82,,,
edrroyce,81,,,
johngaramendi,81,,,
marino4congress,80,,,
repjacobs,80,,,
tndesjarlais,80,,,
